campaign,NumVoicePrepaid,NumVoicePostpaid,VoiceOnNet,VoiceOffNet,VoiceInt,NumCalls,CallDuration,NumDataSPrepaid,NumDataPostpaid,DataCharTraf,DataCharNULL,NumDataSessions,SessionsLength,TotalFlux,BirthDate,Nationality,Occupation,EoPProvisionedBase,RGE30Subscriberbase,RGE90Subscriberbase,RGE1Subscriberbase,EoP_SubscribersApOG,InterconnectPayableRevenue,InterconnectReceivableRevenueRequest,DataRevenue,MMSRevenue,SMSRevenue,VASRevenue,VoiceRevenue,ForfeitedRevenue,RoamingInbound,RoamingOutound,NoOfEvents,OtherRevenue,AddOnSubscriptionRevenue,PrepaidRevenue,NoEventsVASPrep,postpaidAddonRevenue,PostpaidDataRevenue,PostpaidMMSRev,PostpaidSMSRev,PostpaidVASRevenue,PostpaidVoiceRevenue,RoamingOutboundRevenue,PostpaidRevenues,NoEventsVASPost,ARPU,ChurnPresure1,ChurnPresure2,Andpresure1,Andpresure2,iospresure1,iospresure2,allpresure1,allpresure2
campaign_5,3,78,50,22,9,81,8758,0,210,210,0,210,1955718,1776709125,1944-08-01,German,Manager,1,0,0,0,1,1.88199,2.81344,0,0,0,0,0,0,0,0.087,11,0,0,0,0,17,0,0,0,1.5,0,0.087,18.587,5,16.944,0,0,0,0,0,0,0,0
campaign_1,9,29,20,17,1,38,3514,0,27,27,0,27,4059740,14308647303,1971-10-27,German,Labour worker,1,0,0,0,1,0.24483,0.04912,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1.26,0,21.26,0,20,0.0601941747572816,0.0801391975361943,0,0,0,0.021791843394728,0,0
campaign_2,105,332,409,28,0,437,61043,0,41,41,0,41,479494,8124830555,1984-07-12,German,Labour worker,1,0,0,0,1,2.25947,0.01688,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1.32,0,1.32,0,5,0,0,0,0,0,0,0,0
campaign_5,50,184,198,36,0,234,94497,0,261,261,0,261,1282035,4230813767,1965-01-01,German,Labour worker,1,0,0,0,1,1.02347,0.03759,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,8.7,0,23.7,0,15,0,0,0,0,0,0,0,0
campaign_2,141,478,575,44,0,619,56451,0,57,57,0,57,3932528,8877728122,1973-01-01,German,Labour worker,1,0,0,0,1,0.28958,0.47794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,2.04,0,2.24,0,5,0,0,0,0,0,0,0,0
campaign_2,91,187,268,10,0,278,27296,0,259,259,0,259,2419812,15369678491,1971-01-01,Pakistani,Others,1,0,0,0,1,0.05937,0.08936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0.45,0,5,0,0,0,0,0,0,0,0
campaign_5,2,30,12,20,0,32,4564,0,20,20,0,20,3878288,15146886527,1992-09-17,German,Others,1,0,0,0,1,0.02089,8.8e-4,0,0,0,0,0,0,0,0.105,1,0,0,0,0,28,0,0,0,3.75,0,0.105,31.855,5,20,0,0,0,0,0,0,0,0
campaign_8,39,314,319,32,2,353,25151,0,101,101,0,101,2810276,6401151011,1966-08-27,German,Labour worker,1,0,0,0,1,0.99377,0.1266,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2.42,0,2.42,0,25,0,0,0,0,0,0,0,0
campaign_5,3,126,82,46,1,129,18650,0,182,182,0,182,2068254,3229582153,1954-02-04,German,Manager,1,0,0,0,1,1.40313,0.28247,0,0,0,0,0,0,0,2.124,5,0,0,0,0,15,0,0,0,0,0,2.124,17.124,0,15,0,0,0,0,0,0,0,0
campaign_1,62,236,270,28,0,298,25511,0,167,167,0,167,4888569,5669860174,1965-01-01,German,Manager,1,0,0,0,1,0.26121,0.23916,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.085,0,1.92,0,22.005,0,20,0.0100723450177865,0.0769057750110282,0,0,0,0,0,0
campaign_2,38,314,322,30,0,352,27666,0,184,184,0,184,2705220,8307836700,1976-01-01,German,Others,1,0,0,0,1,0.23694,4.4e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,1.68,0,5,0,0,0,0,0,0,0,0
campaign_2,7,114,110,11,0,121,34463,0,16,16,0,16,2420927,8477987246,1985-01-01,German,Technician,1,0,0,0,1,0.07662,0.00416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0.42,0,5,0,0,0,0,0,0,0,0
campaign_2,155,422,430,146,1,577,29764,0,36,36,0,36,4093554,11965498379,1953-03-10,Indian,Mechanic,1,0,0,0,1,0.69874,0.00626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,6.17,0,5,0,0,0,0,0,0,0,0
campaign_5,1,11,6,6,0,12,850,0,27,27,0,27,3803070,7549304078,1976-10-04,German,Police Officer,1,0,0,0,1,0,0.04872,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0.0240229061736931,0,0,0.455223880597015,0.509660551273417,0.455223880597015,0.523945386623334
campaign_1,67,379,372,74,0,446,47031,0,84,84,0,84,4535185,13838854655,1990-09-16,German,Electrician,1,0,0,0,1,0.54114,0.06524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.42,0,0.46,0,30,0.00827827748149327,0.0430186847619343,0,0,0.0179984484096199,0.0542553860950202,0,0
campaign_5,39,43,78,4,0,82,7898,0,4,4,0,4,19676,1652006,1985-07-22,Jordanian,Nurse/Other medical staff,1,0,0,0,1,0.04858,0.03828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,5,0.0499233632581563,0.0607240499194879,0,0,0.0136319376825706,0.148691822062572,0.0136319376825706,0.178145502244053
campaign_2,5,138,94,49,0,143,10838,0,27,27,0,27,4039360,5583991437,1972-08-19,German,Doctor,1,0,0,0,1,0.70046,0.05596,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.02,0,0.56,0,7.58,0,7,0,0,0,0,0,0,0,0
campaign_3,5,138,94,49,0,143,10838,0,27,27,0,27,4039360,5583991437,1972-08-19,German,Doctor,1,0,0,0,1,0.70046,0.05596,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.02,0,0.56,0,7.58,0,7,0,0,0,0,0,0,0,0
campaign_2,12,561,484,89,0,573,78324,0,256,256,0,256,1698973,13028600730,1976-01-26,German,Technician,1,0,0,0,1,0.89117,0.04488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
campaign_2,165,184,338,11,0,349,65956,0,272,272,0,272,2374093,7995754574,1980-08-01,German,Secretary,1,0,0,0,1,0.10201,0.18937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0,5,0,0,0,0,0,0,0,0
campaign_1,47,262,215,94,0,309,40613,0,163,163,0,163,2609791,10384385449,1979-06-19,German,Security/Guard,1,0,0,0,1,2.24381,0.17801,0,0,0,0,0,0,0,0,19,0,0,0,0,20,0,0,0,0,11.5,0,31.5,0,20,0.0372474747474747,0.139180390878443,0,0,0,0,0,0
campaign_3,115,411,446,79,1,526,65366,0,134,134,0,134,2312550,4057094417,1964-01-01,German,Others,1,0,0,0,1,0.60251999999999994,0.09713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,3.42,0,5,0,0,0,0,0,0,0,0
campaign_5,4,39,20,21,2,43,2762,0,202,202,0,202,3819718,14302118504,1957-01-01,German,Labour worker,1,0,0,0,1,0.675,0.05432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,13.8,5.61,0,19.435,56,15,0,0,0,0,0,0,0,0
campaign_1,52,289,264,77,0,341,35254,0,85,85,0,85,1312379,3636030031,1971-08-28,German,Office Clerk/Office worker,1,0,0,0,1,0.90324,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2.72,0,27.72,0,25,0,0,0,0,0,0,0,0
campaign_5,17,91,98,10,0,108,13219,0,16,16,0,16,4412936,3840935187,1977-02-06,German,Others,1,0,0,0,1,0.0808,0.00396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0,5,0.0927430397078959,0.132282425206151,0,0,0.178391490949804,0.229032570991859,0.181003918641538,0.252258268302529
campaign_5,19,64,51,21,11,83,3696,0,135,135,0,135,2393510,15261068548,1949-01-01,German,Others,1,0,0,0,1,1.73579,0.5254,0,0,0,0,0,0,0,1.965,7,0,0,0,0,15.5,0,0,0,0,0,1.965,17.465,0,15.5,0,0,0,0,0,0,0,0
campaign_5,98,217,136,178,1,315,23181,0,348,348,0,348,2394915,8285309714,1987-07-01,German,Supervisor,1,0,0,0,1,0.50351,0.02596,0,0,0,0,0,0,0,4.069,49,0,0,0,0,15,0,0,0,0,0.06,4.069,19.129,0,15,0,0,0,0,0,0,0,0
campaign_1,165,929,649,434,11,1094,54753,0,141,141,0,141,4399679,13388511443,1969-08-23,Filipino,Supervisor,1,0,0,0,1,3.66583,0.05996,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1.06,0,15.34,0,46.4,0,30,0.263005308289098,0.282909160533957,0,0,0,0,0,0
campaign_2,83,200,216,52,15,283,28585,0,61,61,0,61,4838270,12087578721,1976-10-19,Indian,Technician,1,0,0,0,1,1.11249,0.04946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,3.856,0,3.936,0,5,0,0.03224163529896,0,0,0.0188066718907422,0.0934329582682256,0.0188066718907422,0.138733081682022
campaign_5,83,200,216,52,15,283,28585,0,61,61,0,61,4838270,12087578721,1976-10-19,Indian,Technician,1,0,0,0,1,1.11249,0.04946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,3.856,0,3.936,0,5,0,0.03224163529896,0,0,0.0188066718907422,0.0934329582682256,0.0188066718907422,0.138733081682022
campaign_3,150,433,285,298,0,583,75172,0,209,209,0,209,1849956,8459562520,1978-01-01,German,Military,1,0,0,0,1,0.2285,0.06556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.63,0,0.73,0,5,0,0,0,0,0,0,0,0
campaign_5,11,204,132,83,0,215,26772,0,95,95,0,95,1226212,1747789202,1974-01-01,German,Others,1,0,0,0,1,1.1425399999999999,0.1109,0,0,0,0,0,0,0,22.9,141,0,0,0,0,15,0,0,0,0,0,22.9,37.9,0,15,0,0,0,0,0,0,0,0
campaign_2,142,843,844,141,0,985,81560,0,31,31,0,31,4827917,11285729960,1968-05-01,German,Labour worker,1,0,0,0,1,1.44064,0.03696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
campaign_2,69,90,70,89,0,159,8455,0,38,38,0,38,4057327,10750917112,1960-01-01,German,Labour worker,1,0,0,0,1,0.15513,0.06756,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.99,0,5.99,0,5,0,0.010978354993656,0,0,0.00406917599186165,0.0576983998764803,0.00406917599186165,0.07006368919774
campaign_5,55,173,175,50,3,228,22068,0,138,138,0,138,3677110,3320982451,1981-06-20,German,Manager,1,0,0,0,1,1.09582,0.01384,0,0,0,0,0,0,0,0.277,34,0,0,0,0,5,0,0,0,0,3.61,0.277,8.887,0,5,0.0319780060772681,0.0790218936244804,0,0,0.150261389096341,0.204849626347062,0.181926811053025,0.26510039642796
campaign_1,4,220,106,118,0,224,26607,0,59,59,0,59,2440830,4708965070,1985-05-11,Egyptian,Teacher,1,0,0,0,1,0.1183,0.01472,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.02,0,0,0,25.02,4,25,0,0,0,0,0,0,0,0
campaign_5,26,333,164,186,9,359,32781,0,350,350,0,350,2996473,21198731138,1989-09-22,German,Student,1,0,0,0,1,2.02015,0.31527,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5,0,0,0.12,0,3.46,0,42.08,0,15.5,0,0,0,0,0,0,0,0
campaign_4,26,333,164,186,9,359,32781,0,350,350,0,350,2996473,21198731138,1989-09-22,German,Student,1,0,0,0,1,2.02015,0.31527,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5,0,0,0.12,0,3.46,0,42.08,0,15.5,0,0,0,0,0,0,0,0
campaign_5,249,357,548,58,0,606,90618,0,38,38,0,38,4198334,12410527827,1988-12-28,German,Technician,1,0,0,0,1,1.08803,0.3574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
campaign_4,13,123,14,122,0,136,13134,0,142,142,0,142,3292539,35046935324,1981-01-21,German,Others,1,0,0,0,1,0.84254,0.06348,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,2.44,0,48.44,0,10,0,0,0,0,0,0,0,0
campaign_1,1,146,33,114,0,147,15244,0,15,15,0,15,3889619,8900103455,1965-02-21,German,Secretary,1,0,0,0,1,1.25033,0.0422,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0.06,0,1.88,0,36.94,0,35,0,0,0,0,0,0,0,0
campaign_5,84,204,270,18,0,288,25375,0,17,17,0,17,5202846,17121161893,1971-01-01,German,Others,1,0,0,0,1,0.14763,0.00528,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.93,0,5.93,0,5,0.147707979626486,0.167089423246583,0,0,0,0.0346489403852443,0,0.0554183132301009
campaign_5,0,91,2,89,0,91,9441,0,275,275,0,275,2561612,7696290279,1991-03-20,German,Lawyer,1,0,0,0,1,0.97665,0.01648,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.9,0,0,21.9,13,18,0,0,0,0,0,0,0,0
campaign_3,116,318,342,91,1,434,67257,0,79,79,0,79,3147232,11285899444,1976-01-23,German,Others,1,0,0,0,1,1.04426,0.05216,0,0,0,0,0,0,0,0.935,50,0,0,0,0,5,0,0,0,0,5.59,0.935,11.525,0,5,0,0,0,0,0,0,0,0
campaign_1,18,258,88,153,35,276,79290,0,104,104,0,104,3014581,9544499520,1975-09-16,Italian,Director,1,0,0,0,1,13.87596,0.10776,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,0,0,0,0,7.104,0,37.604,0,30.5,0,0,0,0,0,0,0,0
campaign_5,130,393,500,23,0,523,101735,0,155,155,0,155,3920300,5120958057,1988-11-08,German,Supervisor,1,0,0,0,1,0.2716,0.02296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,1.65,0,5,0.0223026958671035,0.0558152252369142,0,0,0.0347182039115843,0.120474673817618,0.120819349612313,0.170703436865889
campaign_1,6,436,85,350,7,442,44623,0,602,602,0,602,2447384,3408901090,1983-11-19,German,Supervisor,1,0,0,0,1,4.09253,0.0538,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.22,0,19.57,0,39.79,0,20,0,0,0,0,0,0,0,0
campaign_3,48,109,54,103,0,157,23432,0,61,61,0,61,1872123,9974874492,1957-01-01,German,Others,1,0,0,0,1,1.1444,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,6.06,0,6.46,0,5,0,0,0,0,0,0,0,0
campaign_2,107,351,438,20,0,458,21257,0,135,135,0,135,1396328,16238070163,1991-09-20,German,Others,1,0,0,0,1,0.05986,0.12316,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.72,0,5.72,0,5,0,0,0,0,0,0,0,0
campaign_1,57,665,673,47,2,722,97231,0,306,306,0,306,2198809,10571485389,1961-01-01,German,Police Officer,1,0,0,0,1,1.10742,0.1907,0,0,0,0,0,0,0,0.617,2,0,0,0,0,0,0,0,0.02,0,4.56,0.617,5.197,0,11.452,0.0268109504966486,0.0472615065786276,0,0,0,0,0,0
campaign_5,6,59,20,24,21,65,36192,0,32,32,0,32,4381846,14918822172,1973-01-01,German,Teacher,1,0,0,0,1,14.11425,0.05692,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0,5.754,0,21.254,0,15.5,0,0,0,0,0,0,0,0
campaign_5,21,379,302,97,1,400,55957,0,77,77,0,77,1368313,7456559237,1979-01-01,German,Supervisor,1,0,0,0,1,1.6329,0.00572,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0
campaign_1,52,432,432,52,0,484,61692,0,267,267,0,267,2556610,5342136348,1950-01-01,German,Manager,1,0,0,0,1,0.40642,0.06336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0,30,0,0,0,0,0,0,0,0
campaign_1,2,37,22,17,0,39,3087,0,132,132,0,132,4198846,10081579959,1987-04-21,Filipino,Supervisor,1,0,0,0,1,0.16748,0.01516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0.92,0,25,0,0.0206595583047822,0,0,0.257297297297297,0.320902617255577,0,0
campaign_5,10,19,26,3,0,29,4179,0,78,78,0,78,2885172,2910473817,1978-01-01,German,Others,1,0,0,0,1,0.01289,0.00264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0,5,0,0.0668760739782026,0,0,0.0617577197149644,0.0949771178243124,0.0617577197149644,0.099269294161378
campaign_1,41,276,243,74,0,317,94335,0,166,166,0,166,3078886,15010628508,1993-08-04,German,Student,1,0,0,0,1,2.19939,0.77588,0,0,0,0,0,0,0,7.943,26,0,0,0,0,25,0,0,0,0.3,4.35,7.943,37.593,1,25,0.00862766244270693,0.0256003144618859,0,0,0,0,0,0
campaign_1,1,85,24,62,0,86,40300,0,22,22,0,22,3081525,4266606767,1983-09-19,German,Labour worker,1,0,0,0,1,3.18854,0.18904,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.02,0,12.8,0,37.82,0,25,0,0,0,0,0,0,0,0
campaign_5,5,10,6,9,0,15,1483,0,342,342,0,342,1008378,2542622262,1958-01-01,German,Manager,1,0,0,0,1,0.04861,0.11014,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0
campaign_5,110,567,643,31,3,677,57435,0,332,332,0,332,1248646,9098413241,1987-01-01,German,Labour worker,1,0,0,0,1,1.5799,0.38222,0,0,0,0,0,0,0,2.43,24,0,0,0,0,0,0,0,0,0,2.7,2.43,5.13,0,5,0,0,0,0,0,0,0,0
campaign_5,71,86,154,3,0,157,18735,0,94,94,0,94,4421599,7353583125,1977-01-01,German,Police Officer,1,0,0,0,1,0.00948,0.1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.19,0,5,0,0.017260515999733,0,0,0,0.00814063260879385,0,0.0252981802331736
campaign_5,23,413,306,130,0,436,37730,0,332,332,0,332,2736231,10681600011,1990-12-02,German,Labour worker,1,0,0,0,1,2.46386,0.10033,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,0,0,0.025,1.3,7.9,0.2,9.425,3,5,0.00577874927765634,0.0166801063272579,0,0,0,0.0373433161033664,0.652448979591837,0.678995834690717
campaign_1,4,218,84,135,3,222,24628,0,170,170,0,170,4744687,1614890324,1978-04-20,Jordanian,Engineer,1,0,0,0,1,3.11941,0.50946,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.1,0,1.43,0,8.53,0,7,0,0,0,0,0,0,0,0
campaign_8,6,171,34,143,0,177,45629,0,54,54,0,54,4042009,41057578403,1983-05-26,German,Military,1,0,0,0,1,4.38677,15.0164,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,3.9,9.38,0,58.28,13,35,0,0,0,0,0,0,0,0
campaign_5,96,471,461,99,7,567,66475,0,93,93,0,93,28749,1014240602,1977-01-01,German,Labour worker,1,0,0,0,1,2.02677,0.40268,0,0,0,0,0,0,0,0.132,1,0,0,0,0,15,0,0,0,0,9.252,0.132,24.384,0,15,0,0,0,0,0,0,0,0
campaign_5,25,89,34,80,0,114,14052,0,150,150,0,150,2352402,5659156526,1971-09-11,German,Supervisor,1,0,0,0,1,0.43012,0.0608,0,0,0,0,0,0,0,0.315,28,0,0,0,0,15,0,0,0,3.9,0,0.315,19.215,13,15,0,0,0,0,0,0,0,0
campaign_2,212,621,810,23,0,833,121132,0,333,333,0,333,1834729,9129243878,1971-02-19,German,Others,1,0,0,0,1,0.14276,0.03564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,1.32,0,5,0,0,0,0,0,0,0,0
campaign_2,81,309,184,206,0,390,36297,0,190,190,0,190,3684637,10535049049,1984-01-01,Indian,Labour worker,1,0,0,0,1,0.12335,0.04464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.9,0,5,0,0,0,0,0,0,0,0
campaign_5,36,186,102,87,33,222,20777,0,180,180,0,180,1623976,3635008158,1953-09-22,German,Supervisor,1,0,0,0,1,2.35895,0.73287,0,0,0,0,0,0,0,0.023,17,0,0,0,0,15.5,0,0,0,0,0,0.023,15.523,0,15.5,0,0,0,0,0,0,0,0
campaign_5,11,72,66,17,0,83,6648,0,695,695,0,695,2081300,5238376142,1900-01-01,German,Manager,1,0,0,0,1,0.14762,0.0158,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0
campaign_3,19,371,349,38,3,390,35213,0,103,103,0,103,3534691,6294359364,1966-11-08,German,Others,1,0,0,0,1,0.38184,0.02866,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.525,3,7.01,0,10.535,31,5,0,0,0,0,0,0,0,0
campaign_5,25,242,91,176,0,267,33378,0,224,224,0,224,1040754,5983955933,1979-08-31,German,Secretary,1,0,0,0,1,2.18747,0.29528,0,0,0,0,0,0,0,169.39,115,0,0,0,0,0,0,0,0.12,0,4.26,169.39,173.77,0,15,0,0,0,0,0,0,0,0
campaign_1,8,164,84,85,3,172,23407,0,82,82,0,82,1415347,2960538554,1984-10-17,German,Others,1,0,0,0,1,1.8978,0.51318,0,0,0,0,0,0,0,4.612,360,0,0,0,0,20.5,0,0,0,0,4.765,4.612,29.877,0,15.5,0,0,0,0,0,0,0,0
campaign_5,48,202,121,129,0,250,21482,0,9,9,0,9,2023368,6104468470,1966-01-01,German,Others,1,0,0,0,1,0.13226,0.0388,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0.025,0,0.63,0,0.655,0,5,0,0,0,0,0,0,0,0
campaign_3,1,137,66,72,0,138,45142,0,60,60,0,60,3098595,3809098272,1981-04-12,German,Police Officer,1,0,0,0,1,0.18005,0.07988,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1.05,0,6.05,0,5,0,0,0,0,0,0,0,0
campaign_1,19,671,112,577,1,690,23172,0,143,143,0,143,3529473,4045248025,1990-06-06,German,Student,1,0,0,0,1,1.87237,0.24418,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.62,0,12.5,0,43.12,0,30,0.00841772984348284,0.03681727643866,0,0,0,0,0,0
campaign_2,3,167,70,100,0,170,15936,0,63,63,0,63,3171277,8379283263,1974-01-24,German,Manager,1,0,0,0,1,0.22822,0.03476,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.02,0,1.71,0,6.73,0,5,0,0,0,0,0,0,0,0
campaign_5,64,225,258,28,3,289,27965,0,151,151,0,151,2392704,2551140051,1960-09-03,German,Manager,1,0,0,0,1,1.44729,0.21654,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0.125,0,0.3,0.655,0,15.08,1,14,0,0,0,0,0,0,0,0
